stop_id,stop_name,lat,lon,borough,in_lcc,degree,degree_rank,degree_percentile,betweenness,betweenness_rank,betweenness_percentile,closeness,closeness_rank,closeness_percentile
03700074,Langley Road,51.504967,-0.573346,,true,2,10,36,0.000202,14397,26,0.019090,16286,15
03700075,Langley Road,51.504665,-0.572833,,true,2,10,36,0.000303,12578,35,0.019210,16172,15
03700076,Kaywood Close,51.503112,-0.569399,,true,2,10,36,0.000404,11110,43,0.019586,15703,18
03700077,Kaywood Close,51.502710,-0.568143,,true,2,10,36,0.000303,12578,35,0.019461,15875,17
03700078,Upton Court Road,51.501232,-0.565683,,true,2,10,36,0.000505,9963,49,0.019977,15138,21
03700079,Upton Court Road,51.500553,-0.563874,,true,2,10,36,0.000404,11110,43,0.019847,15338,20
03700080,Drake Avenue,51.499602,-0.561815,,true,2,10,36,0.000606,9062,53,0.020384,14385,24
03700081,Drake Avenue,51.499343,-0.559749,,true,2,10,36,0.000505,9963,49,0.020249,14642,23
03700082,Cedar Way,51.497810,-0.556498,,true,2,10,36,0.000606,9062,53,0.020667,13738,28
03700083,Cedar Way,51.497453,-0.556019,,true,2,10,36,0.000707,8333,57,0.020808,13431,29
03700084,Ditton Park Road,51.495909,-0.552567,,true,2,10,36,0.000808,7638,61,0.021249,12188,36
03700085,Ditton Park Road,51.494862,-0.550094,,true,2,10,36,0.000707,8333,57,0.021103,12592,34
03700086,High Street Langley,51.494118,-0.548835,,true,2,10,36,0.000909,7085,64,0.021710,10628,44
03700087,High Street Langley,51.493543,-0.546635,,true,2,10,36,0.000808,7638,61,0.021558,11138,42
03700089,Sutton Lane,51.489692,-0.537107,,true,2,10,36,0.000909,7085,64,0.022032,9442,50
03700157,Horton Road,51.484424,-0.527856,,true,2,10,36,0.001010,6589,66,0.022528,7682,60
03700158,Horton Road,51.484268,-0.527659,,true,2,10,36,0.001010,6589,66,0.022192,8869,53
03700159,Ye Olde George Inn,51.483617,-0.523777,,true,2,10,36,0.001111,6148,69,0.022695,7142,63
03700160,Ye Olde George Inn,51.483609,-0.522409,,true,2,10,36,0.001111,6148,69,0.023047,5989,69
03700161,The Star & Garter,51.482414,-0.520316,,true,2,10,36,0.001212,5776,70,0.023221,5463,71
03700162,Coleridge Crescent,51.480645,-0.516312,,true,2,10,36,0.001212,5776,70,0.023590,4437,77
03700163,Coleridge Crescent,51.480481,-0.516130,,true,2,10,36,0.001313,5434,72,0.023773,3969,79
03700165,Poyle Road,51.479750,-0.513044,,true,2,10,36,0.001313,5434,72,0.024159,3101,84
03700166,Poyle Road,51.479644,-0.512529,,true,2,10,36,0.001414,5154,74,0.024351,2727,86
03700167,Galleymead Road,51.479385,-0.509801,,true,2,10,36,0.001414,5154,74,0.024756,2007,90
03700168,Galleymead Road,51.478853,-0.508292,,true,2,10,36,0.001515,4892,75,0.024957,1707,91
03700308,Sussex Place,51.505951,-0.577365,,true,2,10,36,0.000202,14397,26,0.018848,16534,13
03700309,Sussex Place,51.506752,-0.578853,,true,2,10,36,0.000101,16627,14,0.018732,16640,13
03700310,Wexham Road,51.509059,-0.585325,,true,1,11,1,0.000000,18963,1,0.018163,17127,10
03700330,Queensmere Centre,51.509170,-0.594270,,true,1,11,1,0.000000,18963,1,0.018388,16954,11
03700518,Uxbridge Road / Sainsbury's,51.507318,-0.579923,,true,2,10,36,0.000101,16627,14,0.018499,16844,12
040000001301,Oakside,51.552806,-0.487589,,true,2,10,36,0.000562,9437,51,0.022347,8300,56
040000001302,Oakside,51.553419,-0.488434,,true,2,10,36,0.000492,10116,48,0.021857,10104,47
040000001303,Knighton Way Lane,51.556175,-0.490867,,true,2,10,36,0.000461,10438,46,0.021860,10093,47
040000001304,Knighton Way Lane,51.555741,-0.490679,,true,2,10,36,0.000391,11309,42,0.021391,11724,38
040000001305,Oxford Gardens,51.566068,-0.500754,,true,2,10,36,0.000360,11734,39,0.021394,11715,39
040000001306,Southlands Road,51.565948,-0.501249,,true,2,10,36,0.000291,12788,34,0.020945,13069,31
040000001307,Ronan Way,51.568239,-0.503886,,true,2,10,36,0.000260,13302,31,0.020948,13062,31
040000001309,Village Road,51.571300,-0.504882,,true,2,10,36,0.000160,15297,21,0.020526,14100,26
040000001310,Village Road,51.571725,-0.505085,,true,2,10,36,0.000192,14617,24,0.020528,14094,26
040000001313,Denham Station,51.579593,-0.500165,,true,2,10,36,0.000063,17448,10,0.020127,14893,22
040000001315,Savay Lane,51.581568,-0.497069,,true,2,10,36,0.000004,18730,3,0.019849,15330,20
040000001316,Link Way,51.582027,-0.496433,,true,2,10,36,0.000005,18711,3,0.019748,15493,19
040000001348,Denham Station,51.580645,-0.498745,,true,2,10,36,0.000095,16779,13,0.020129,14891,22
150003475E,Audleigh Place,51.607386,0.066776,,true,2,10,36,0.000046,17843,8,0.019514,15803,17
