route,route_type,garage_code,garage_name,operator,vehicle,additional_journeys,frequency_peak_am,frequency_peak_pm,frequency_offpeak,frequency_overnight,frequency_weekend,length_km,length_miles
1,regular,Q,Camberwell,Go-Ahead,DD,,6.5,6.5,6.5,0.0,5.0,14.546,9.039
2,regular,N,Norwood,Arriva,DD,,7.0,7.0,7.0,0.0,6.0,13.197,8.2
3,regular,WL,Walworth,Transport UK,DD,,6.5,6.0,6.0,0.0,5.0,13.041,8.103
4,regular,HT,Holloway,Metroline,DD,,6.0,6.0,6.0,0.0,5.0,11.533,7.166
5,regular,DS; RR,Henley Road; River Road,Go-Ahead,DD,,9.0,8.5,9.0,0.0,7.5,17.44,10.837
6,twentyfour,AC,Willesden,Metroline,DD,,6.5,7.0,7.0,2.0,5.5,11.186,6.951
7,regular,PV,Perivale [East],Metroline,DD,,5.0,5.0,4.5,0.0,4.5,10.189,6.331
8,regular,BW,Bow,Stagecoach London,DD,,8.0,8.0,8.0,0.0,6.0,10.309,6.406
9,regular,AH,Brentford,Metroline,DD,,5.5,6.0,6.0,0.0,5.0,8.617,5.354
11,regular,SW,Stockwell,Go-Ahead,DD,,5.5,5.0,5.0,0.0,5.0,7.564,4.7
12,twentyfour,Q,Camberwell,Go-Ahead,DD,,5.0,5.0,5.0,3.5,5.0,11.767,7.311
13,twentyfour,X,Westbourne Park,First,DD,,7.0,6.5,7.0,2.0,6.0,15.869,9.861
14,twentyfour,AF; RA,Putney; Waterloo,Go-Ahead,DD,,7.5,7.5,7.5,4.5,6.0,11.891,7.389
15,regular,DS,Henley Road,Go-Ahead,DD,,5.0,5.0,5.0,0.0,5.5,9.714,6.036
16,regular,W,Cricklewood,Metroline,DD,,6.0,6.0,6.0,0.0,5.0,12.355,7.677
17,regular,HT,Holloway,Metroline,DD,,6.0,6.0,6.0,0.0,5.0,9.507,5.908
18,regular,RP,Park Royal,First,DD,,11.0,11.0,12.0,0.0,8.5,14.574,9.056
19,regular,SF,Stamford Hill,Arriva,DD,,6.0,6.0,6.0,0.0,6.0,13.307,8.268
20,regular,T,Leyton,Stagecoach London,DD,,4.0,4.0,4.0,0.0,2.0,16.582,10.303
21,regular,NX,New Cross,Go-Ahead,DD,,7.0,7.0,7.0,0.0,5.0,15.83,9.836
22,regular,AF,Putney,Go-Ahead,DD,,6.5,6.0,6.0,0.0,5.0,10.094,6.272
23,twentyfour,X,Westbourne Park,First,DD,,4.5,5.0,5.0,3.0,5.0,11.713,7.278
24,twentyfour,QB,Battersea,Transport UK,DD,,5.5,5.0,5.0,2.5,5.0,10.911,6.78
25,regular,BW,Bow,Stagecoach London,DD,,6.5,7.5,6.5,0.0,5.5,15.202,9.446
26,regular,HK,Ash Grove,Stagecoach London,DD,,6.0,6.0,6.0,0.0,5.0,11.831,7.352
27,regular,QB,Battersea,Transport UK,DD,,5.0,5.5,5.5,0.0,5.0,12.719,7.903
28,regular,WJ,Willesden Junction,Metroline,DD,,6.5,6.0,6.0,0.0,5.5,12.355,7.677
29,regular,WN,Wood Green,Arriva,DD,,10.0,10.0,10.0,0.0,8.0,11.664,7.248
30,regular,KC,King's Cross,Metroline,DD,,6.0,6.0,6.0,0.0,5.0,9.494,5.899
31,regular,X,Westbourne Park,First,DD,,5.5,5.5,5.5,0.0,6.0,11.31,7.028
32,regular,W,Cricklewood,Metroline,DD,,8.0,7.5,7.5,0.0,5.0,10.934,6.794
33,regular,FW,Fulwell,First,SD,,7.0,7.0,6.5,0.0,5.0,13.444,8.353
34,regular,AD,Palmers Green,Arriva,DD,,6.0,6.0,6.5,0.0,5.0,18.207,11.313
